Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,HealyWarningsOnSmoking,CheapestBrandCigaretteCurrency,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,PremiumBrandCigarettePrice,TreatmentInHealthFacilities,CigaretteSmokingPrevalence_Main
Albania,43.3,50.5,50.5,No,200,All,240,320,Yes in some,43.3
Algeria,11.1,14.5,18.8,No,45,DZD,300,300,Yes in some,11.1
Andorra,27.7,33.8,33.8,Not applicable,2.8,EUR,3.6,3.6,No,27.7
Argentina,19.2,21.1,21.8,Yes,28.57,ARS,60,63,Yes in most,19.2
Armenia,25.0,26.7,26.7,Not applicable,300,AMD,680,700,Yes in some,25.0
Australia,12.9,14.1,16.2,No,20.75,AUD,20.75,25.2,Yes in most,12.9
Austria,27.0,29.1,29.1,No,4.4,EUR,5.5,5.5,Yes in some,27.0
Azerbaijan,15.6,19.6,19.6,Not applicable,0.6,AZN,1.2,2.6,No,15.6
Bahamas,2.5,18.6,18.6,Not applicable,Data not available,Data not available,Data not available,Data not available,Yes in some,2.5
Bahrain,13.8,3.8,41.5,Not applicable,0.8,BHD,2,2,Yes in some,13.8
Bangladesh,17.7,20.9,39.1,Yes,80,BDT,80,240,Yes in some,17.7
Barbados,10.1,2.0,2.3,Yes,8.59,BBD,14.65,18.99,No,10.1
Belarus,39.9,26.6,26.6,Not applicable,0.95,BYN,1.1,3.1,Yes in most,39.9
Belgium,23.4,25.0,25.0,No,5.5,EUR,6.6,6.6,Yes in some,23.4
Benin,4.1,11.3,12.4,No,225,XOF,500,"1,000",No,4.1
Bosnia and Herzegovina,30.9,38.3,38.3,Not applicable,4,BAM,5.5,5.8,Yes in most,30.9
Botswana,2.8,33.3,23.7,Not applicable,26.95,BWP,38.95,Data not available,Yes in some,2.8
Brazil,15.3,17.2,16.5,No,5,BRL,5,8,Yes in some,15.3
Brunei Darussalam,2.0,2.5,2.5,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes in some,2.0
Bulgaria,35.8,38.9,38.9,No,4.5,BGN,5.2,5.5,Yes in some,35.8
Burkina Faso,10.0,12.3,24.9,Yes,250,XOF,750,900,No,10.0
Burundi,14.3,2.2,18.8,No,Data not available,BIF,"1,600","11,000",No,14.3
Cambodia,16.1,2.0,37.4,Yes,700,KHR,"2,000","7,000",No,16.1
Cameroon,14.8,14.8,17.5,Yes,300,XAF,500,Data not available,No,14.8
Canada,12.5,13.0,17.5,No,7.12,CAD,11.81,11.91,Yes in most,12.5
Chad,12.3,17.9,2.3,Yes,700,XAF,"1,000","2,500",No,12.3
Chile,34.5,44.7,44.7,Yes,"2,100",CLP,"2,700","3,600",No,34.5
China,22.6,24.7,24.7,Not applicable,3,CNY,14.07,50,Yes in some,22.6
Colombia,3.3,3.7,3.7,Yes,"2,662",COP,"4,003","5,202",Yes in some,3.3
Comoros,18.8,22.8,29.9,No,400,KMF,750,"1,500",No,18.8
Congo,12.2,12.7,2.0,No,500,XAF,650,"1,000",No,12.2
Cook Islands,21.3,26.6,26.6,No,24,NZD,24,25.6,Yes in most,21.3
Costa Rica,4.5,5.0,5.0,Yes,"1,500",CRC,"1,900","2,100",Yes in some,4.5
Croatia,33.1,36.6,36.6,No,16,HRK,25,28,Yes in some,33.1
Cuba,19.4,27.1,27.1,No,7,CUP,12.5,32.5,Yes in most,19.4
Cyprus,29.9,36.7,36.7,No,3.8,EUR,4.5,4.9,Yes in some,29.9
Czechia,26.9,31.5,31.5,No,84,CZK,94,105,Yes in some,26.9
Côte d’Ivoire,10.1,12.4,13.0,No,500,XOF,700,"1,000",Yes in some,10.1
Democratic People's Republic of Korea,15.5,18.8,18.8,Not applicable,69,KPW,229,304,Yes in most,15.5
Denmark,16.8,18.6,18.6,No,36,DKK,44.5,44.5,Yes in some,16.8
Dominican Republic,4.8,7.5,7.5,No,120,DOP,200,220,No,4.8
Egypt,18.2,21.3,21.4,Yes,16,EGP,16,37,No,18.2
El Salvador,15.3,18.4,2.5,Yes,2.46,USD,2.89,3.63,No,15.3
Eritrea,4.6,11.1,14.2,No,Data not available,ERN,100,Data not available,No,4.6
Estonia,27.5,30.5,30.5,Not applicable,3.4,EUR,4.25,5,Yes in some,27.5
Eswatini,15.1,16.3,19.1,No,Data not available,SZL,38.4,Data not available,No,15.1
Ethiopia,2.9,3.4,4.6,No,Data not available,ETB,15,Data not available,No,2.9
Fiji,34.6,26.7,26.7,Not applicable,13.4,FJD,14.2,17.3,Yes in some,34.6
Finland,17.3,19.7,19.7,Not applicable,6.5,EUR,7.22,7.4,Yes in most,17.3
France,31.5,34.6,34.6,No,7.7,EUR,8,8,Yes in some,31.5
Gambia,11.4,15.2,14.4,Not applicable,30,GMD,60,80,No,11.4
Georgia,4.8,5.2,5.2,No,1.05,GEL,3.7,4.4,Yes in some,4.8
Germany,26.0,28.0,28.0,No,5.2,EUR,6.4,6.4,Yes in some,26.0
Ghana,2.6,3.5,3.7,No,2.5,GHS,4.99,10,No,2.6
Greece,35.6,39.1,39.1,No,3.9,EUR,4.6,4.6,Yes in some,35.6
Guyana,2.2,2.2,2.2,Yes,380,GYD,380,580,Yes in some,2.2
Haiti,2.4,3.3,3.3,Not applicable,Data not available,Data not available,Data not available,Data not available,No,2.4
Hungary,28.5,30.6,30.6,No,"1,031",HUF,"1,245","1,245",Yes in some,28.5
Iceland,11.0,13.8,13.8,No,"1,269",ISK,"1,359","1,399",No,11.0
India,12.1,11.8,27.0,Yes,120,INR,190,300,Yes in some,12.1
Indonesia,31.1,31.1,5.3,Yes,"17,917",IDR,"26,250","23,375",Yes in some,31.1
Iran (Islamic Republic of),16.6,10.6,24.6,Yes,"25,000",IRR,"45,000","100,000",Yes in some,16.6
Iraq,14.2,2.4,3.6,Yes,500,IQD,500,"2,500",Yes in some,14.2
Ireland,21.1,23.6,23.6,No,10,EUR,12.2,12.2,Yes in some,21.1
Israel,21.7,25.5,25.5,No,26.5,ILS,36,38.5,Yes in some,21.7
Italy,22.8,23.4,23.4,No,4,EUR,5.5,5.5,Yes in some,22.8
Jamaica,3.4,17.7,17.7,Yes,726,JMD,"1,223","1,357",Yes in most,3.4
Japan,21.1,21.9,21.9,No,330,JPY,440,470,Yes in some,21.1
Kazakhstan,39.2,42.2,42.2,Yes,360,KZT,360,460,Yes in some,39.2
Kenya,16.3,10.2,2.8,Yes,Data not available,KES,130,Data not available,No,16.3
Kiribati,41.7,52.0,52.0,No,4,AUD,6,7,Yes in most,41.7
Kuwait,15.0,2.1,3.4,Yes,0.3,KWD,0.85,0.85,Yes in some,15.0
Kyrgyzstan,23.3,3.4,3.4,Yes,42,KGS,66,81,Yes in most,23.3
Lao People's Democratic Republic,39.9,48.4,37.8,No,"3,000",LAK,"7,000","15,000",No,39.9
Latvia,32.4,36.7,36.7,Not applicable,3.1,EUR,3.5,3.8,Yes in some,32.4
Lebanon,25.9,34.0,42.6,No,500,LBP,"3,500","3,500",Yes in some,25.9
Lesotho,23.5,30.0,4.6,Not applicable,Data not available,LSL,41,Data not available,No,23.5
Liberia,13.3,13.6,15.1,Not applicable,Data not available,LRD,120,Data not available,Yes in some,13.3
Lithuania,24.7,27.1,27.1,Not applicable,3.15,EUR,3.75,3.75,Yes in some,24.7
Luxembourg,19.8,21.7,21.7,No,4.2,EUR,5.3,5.3,Yes in some,19.8
Madagascar,14.7,20.6,28.9,No,"1,450",MGA,"4,000","5,500",Yes in some,14.7
Malawi,16.0,18.2,20.4,Not applicable,Data not available,Data not available,Data not available,Data not available,No,16.0
Malaysia,18.5,21.8,21.8,Not applicable,10,MYR,17,17,Yes in some,18.5
Mali,18.1,12.0,12.0,No,250,XOF,800,"1,000",Yes in some,18.1
Malta,22.4,25.1,25.1,Not applicable,4.9,EUR,5.5,5.5,Yes in some,22.4
Mauritius,3.2,3.7,48.3,Not applicable,137,MUR,145,230,No,3.2
Mexico,19.7,21.2,21.2,No,25,MXN,50,50,Yes in most,19.7
Mongolia,36.8,45.3,49.1,No,"2,000",MNT,"2,000","4,500",Yes in some,36.8
Morocco,11.7,13.8,14.7,No,16,MAD,20.5,35,Yes in most,11.7
Mozambique,11.3,26.7,23.4,No,45,MZN,50,70,Yes in some,11.3
Myanmar,2.3,36.4,45.5,Yes,350,MMK,800,Data not available,Yes in some,2.3
Namibia,23.1,34.2,28.4,Yes,14,NAD,50,50,Yes in some,23.1
Nauru,37.6,46.0,52.1,No,13,AUD,13,15,No,37.6
Nepal,29.0,33.0,31.9,Yes,Data not available,NPR,216,Data not available,Yes in some,29.0
Netherlands,20.1,23.4,23.4,No,6,EUR,7,7,Yes in most,20.1
New Zealand,14.0,14.8,14.8,Yes,21.5,NZD,23.9,26.9,Yes in most,14.0
Niger,12.6,14.3,16.3,Not applicable,250,XOF,500,"1,500",No,12.6
Nigeria,3.7,4.1,4.8,No,Data not available,NGN,220,Data not available,No,3.7
Norway,14.6,18.4,13.0,No,93.5,NOK,117.8,117.8,Yes in some,14.6
Oman,11.5,15.2,18.5,Not applicable,0.45,OMR,1.2,1.2,No,11.5
Pakistan,2.2,3.0,33.6,Not applicable,48,PKR,48,130,No,2.2
Palau,22.7,28.5,23.7,Not applicable,6.25,USD,6.85,7.5,Yes in some,22.7
Panama,5.0,5.7,2.7,Yes,4,PAB,4.5,4.5,Yes in some,5.0
Paraguay,17.3,20.8,20.8,Yes,"2,000",PYG,"2,000","12,000",No,17.3
Peru,3.1,3.6,3.6,Yes,12,PEN,16,18,No,3.1
Philippines,37.7,41.6,41.6,Yes,57.75,PHP,57.75,86,Yes in some,37.7
Poland,24.3,26.0,26.0,No,12.9,PLN,15.5,16.7,Yes in some,24.3
Portugal,24.8,27.9,27.9,No,4,EUR,5,5,Yes in some,24.8
Qatar,10.2,11.8,14.0,Not applicable,3.5,QAR,10,10,Yes in some,10.2
Republic of Korea,36.2,38.2,38.2,Yes,"4,286",KRW,"4,500","6,000",Yes in some,36.2
Republic of Moldova,40.1,44.6,44.6,Not applicable,14,MDL,28,30,Yes in some,40.1
Romania,22.8,25.5,25.5,No,15.3,RON,17.5,17.5,Yes in some,22.8
Russian Federation,27.7,28.3,28.3,No,69,RUB,125,145,Yes in some,27.7
Rwanda,12.9,18.5,19.7,No,300,RWF,650,"1,500",No,12.9
Samoa,23.1,28.9,28.9,No,8,WST,13.4,13.4,No,23.1
Sao Tome and Principe,4.1,4.5,5.4,No,18,STN,25,50,No,4.1
Saudi Arabia,18.6,12.7,2.0,Not applicable,6,SAR,27.5,27.5,Yes in most,18.6
Senegal,12.5,14.5,17.4,Yes,700,XOF,700,800,Yes in some,12.5
Serbia,36.2,40.6,40.6,Not applicable,210,RSD,250,330,Yes in some,36.2
Seychelles,31.0,35.3,35.3,Yes,117,SCR,117,140,No,31.0
Sierra Leone,29.1,31.0,31.0,Not applicable,"2,000",SLL,"5,000","10,000",No,29.1
Singapore,25.0,27.8,27.8,Not applicable,10.5,SGD,14.1,14.1,Yes in most,25.0
Slovakia,27.0,32.3,32.3,No,2.8,EUR,3.3,3.9,No,27.0
Slovenia,20.9,22.7,22.7,No,3.1,EUR,3.7,4.1,Yes in some,20.9
Solomon Islands,31.4,37.9,37.9,No,20,SBD,32,32,Yes in some,31.4
South Africa,28.2,34.3,31.4,No,15,ZAR,37.34,45,No,28.2
Spain,25.9,27.9,27.9,No,4,EUR,5,5,Yes in some,25.9
Sri Lanka,10.6,13.8,22.9,Not applicable,Data not available,LKR,"1,100",Data not available,No,10.6
Sweden,12.4,16.9,28.8,No,54,SEK,65,65,Yes in most,12.4
Switzerland,22.1,25.1,25.1,No,5.5,CHF,8.6,8.6,Yes in some,22.1
Thailand,19.0,20.3,3.1,Not applicable,55,THB,60,145,Yes in most,19.0
Timor-Leste,4.8,38.2,38.2,Yes,Data not available,USD,2,2,Yes in some,4.8
Togo,10.2,13.5,13.5,No,500,XOF,600,"1,200",No,10.2
Tonga,38.8,30.2,30.2,No,15,TOP,20,20,Yes in most,38.8
Tunisia,17.9,22.4,26.0,No,0.4,TND,2.85,6,Yes in most,17.9
Turkey,27.2,29.3,29.3,No,7.5,TRY,13.5,13.5,Yes in some,27.2
Tuvalu,30.6,37.4,48.7,No,3,AUD,6,6,No,30.6
Uganda,11.6,2.6,4.0,Not applicable,"2,500",UGX,"3,500","8,500",No,11.6
Ukraine,38.9,41.0,41.0,Yes,28.1,UAH,29.05,39,Yes in some,38.9
United Arab Emirates,11.3,14.7,18.2,Yes,8,AED,20,20,Yes in some,11.3
United Kingdom of Great Britain and Northern Ireland,16.8,19.2,19.2,No,7.63,GBP,9.4,11.5,Yes in most,16.8
United Republic of Tanzania,16.6,19.9,23.5,Not applicable,Data not available,TZS,"3,500",Data not available,No,16.6
United States of America,17.1,20.0,25.1,No,Not applicable,USD,6.86,Not applicable,Yes in some,17.1
Uruguay,19.5,21.8,21.8,Yes,130,UYU,140,140,Yes in most,19.5
Uzbekistan,10.1,12.3,12.3,No,"3,500",UZS,"6,000","8,500",Yes in some,10.1
Vanuatu,2.4,20.1,3.3,Not applicable,610,VUV,735,740,No,2.4
Yemen,20.7,26.9,32.5,Yes,200,YER,550,700,No,20.7
Zambia,11.5,24.1,25.0,No,4,ZMW,17.5,35,Yes in some,11.5
Zimbabwe,11.1,13.9,13.9,No,0.9,USD,1.75,2.5,No,11.1
